Height=67.75 #SUP: 8
Neck=36.2 #SUP: 3
Knee=37.3 #SUP: 7
Ankle=21.9 #SUP: 8
Biceps=32 #SUP: 3
Forearm=27.4 #SUP: 7
Wrist=17.1 #SUP: 6
binaryClass=P #SUP: 124
Height=72.25 #SUP: 12
Neck=38.5 #SUP: 12
Hip=98.7 #SUP: 3
Ankle=23.4 #SUP: 8
Biceps=30.5 #SUP: 7
Forearm=28.9 #SUP: 4
Wrist=18.2 #SUP: 13
Neck=34 #SUP: 3
Hip=99.2 #SUP: 3
Knee=38.9 #SUP: 4
Ankle=24 #SUP: 8
Biceps=28.8 #SUP: 4
Forearm=25.2 #SUP: 3
binaryClass=N #SUP: 128
Age=26 #SUP: 6
Neck=37.4 #SUP: 8
Chest=101.8 #SUP: 3
Ankle=22.8 #SUP: 5
Biceps=32.4 #SUP: 4
Forearm=29.4 #SUP: 4
Age=24 #SUP: 4
Weight=184.25 #SUP: 3
Height=71.25 #SUP: 7
Biceps=32.2 #SUP: 3
Forearm=27.7 #SUP: 5
Wrist=17.7 #SUP: 15
Forearm=30.6 #SUP: 3
Wrist=18.8 #SUP: 18
Height=69.75 #SUP: 9
Neck=36.4 #SUP: 5
Thigh=58.4 #SUP: 4
Knee=38.3 #SUP: 7
Ankle=22.9 #SUP: 7
Forearm=27.8 #SUP: 5
Age=25 #SUP: 4
Height=72.5 #SUP: 5
Neck=37.8 #SUP: 7
Hip=97.1 #SUP: 3
Thigh=60 #SUP: 4
Knee=39.4 #SUP: 6
Ankle=23.2 #SUP: 9
Forearm=29 #SUP: 5
Height=74 #SUP: 4
Neck=38.1 #SUP: 4
Ankle=23.8 #SUP: 5
Biceps=35.9 #SUP: 3
Forearm=31.1 #SUP: 4
Height=73.5 #SUP: 7
Neck=42.1 #SUP: 5
Hip=104.1 #SUP: 3
Ankle=25 #SUP: 4
Biceps=35.6 #SUP: 4
Forearm=30 #SUP: 6
Wrist=19.2 #SUP: 6
Height=74.5 #SUP: 6
Ankle=25.2 #SUP: 4
Wrist=18.5 #SUP: 16
Age=27 #SUP: 7
Neck=39.4 #SUP: 5
Knee=39.2 #SUP: 5
Biceps=37.2 #SUP: 4
Forearm=30.2 #SUP: 3
Wrist=19 #SUP: 10
Age=32 #SUP: 4
Height=69.5 #SUP: 12
Thigh=63.4 #SUP: 3
Ankle=21.5 #SUP: 8
Biceps=32.5 #SUP: 5
Forearm=28.6 #SUP: 4
Age=35 #SUP: 10
Knee=39 #SUP: 9
Ankle=23.1 #SUP: 5
Forearm=30.5 #SUP: 4
Chest=99.1 #SUP: 5
Knee=38.7 #SUP: 6
Ankle=21.7 #SUP: 4
Forearm=26.4 #SUP: 3
Wrist=16.9 #SUP: 9
Age=34 #SUP: 4
Wrist=17.3 #SUP: 9
Knee=40 #SUP: 6
Age=28 #SUP: 7
Neck=38 #SUP: 10
Neck=40 #SUP: 3
Abdomen=100.5 #SUP: 4
Knee=40.6 #SUP: 4
Forearm=30.1 #SUP: 6
Height=68 #SUP: 6
Neck=39.1 #SUP: 3
Thigh=63.5 #SUP: 4
Knee=38 #SUP: 7
Ankle=22.1 #SUP: 7
Forearm=30.3 #SUP: 5
Wrist=18.4 #SUP: 14
Ankle=24.6 #SUP: 8
Wrist=19.9 #SUP: 3
Age=31 #SUP: 4
Height=68.25 #SUP: 7
Ankle=22.2 #SUP: 4
Biceps=27.9 #SUP: 4
Height=70 #SUP: 10
Neck=35.5 #SUP: 6
Forearm=26.7 #SUP: 3
Forearm=28 #SUP: 5
Wrist=17.6 #SUP: 10
Height=71.5 #SUP: 14
Thigh=55 #SUP: 3
Ankle=22.5 #SUP: 11
Biceps=29.9 #SUP: 3
Forearm=28.2 #SUP: 5
Height=67.5 #SUP: 11
Ankle=21.4 #SUP: 4
Chest=97.4 #SUP: 3
Abdomen=88.7 #SUP: 4
Thigh=57.5 #SUP: 5
